c5,remark
19730930033419A,ENG QUIT PLT SWITCHED FM R TANK TO L BACK TO R.FUEL GAUGE L TANK ABT 7/10 FULL R TANK EMPTY.
19730930033499A,"R MAIN GR ENCTRD PLOWED FLD,DUG IN,COLLAPSED.BRAKES CKD OK."
19730930034689A,STUDENT PLT DECENDED INTO FOG BANK HIT MOUNTAIN RIDGE.
19730930035739A,"L TIRE DEFLATED,L WG CTCD SAND BAR.VEERED INTO SOFT TERRAIN & INVERTED.RECOVERED 11/5/73."
19730930036339A,HIT TREES AT NITE.NOT EQUIPT FOR NITE FLT.
19730930036769A,
19730930037629A,PLT CERT NOT ENDORSED FOR SOLO FLT ACFT MODIFIED FOR USE AS SPRAY ACFT.
19730930037719A,PLT USED FUEL INST IND AS MEANS OF DTMNG ACTUAL FUEL ON BOARD ACFT.
19730930039129A,ACFT NOT RECOVERED FROM WATER.
19730930041479A,UN EXTEND L MN LDG GR.INVEST UNDER JURISDICTION OF GOVT OF BAHAMAS.
19731001030479A,"R WING REAR MOUNT BRACKET AND FRONT SPAR BKN AT MOUNT BRACKET.BOTH BKN PARTS BURNED,BLACK FM HEAT."
19731001030489A,PLT HIT A COW THAT WAS NEAR THE RWY.
19731001032049A,
19731001034479A,PLT INADVERTENTLY APPLIED BRAKES RESULTING FROM WEARING NEW HUNTING BOOTS.ACFT HEEL BRAKE EQPD.
19731001035519A,FLOAT EQUIPPED.LOST CTL IN CLIMBING TURN.
19731001036349A,CO.FLT PLAN VFR. DRK NIGHT NO HORIZ REF SPARSE LTG IN AREA. HIT WATER CONT FLT TO DEST
19731002030999A,TOWING CABLE W EXT HOOK. PILOT IN COMMAND - ALLOWED CABLE TO STRIKE T/R
19731002032211A,PLT SAW THE OTHER ACFT TO HIS RIGHT COULD NOT REMEBER TAKING EVASIVE ACTION.LNDD AT DEST OK.
19731002032212A,PLT CLAIMED LFT WNDSCREEN CORNR POST BLIND SPOT.PIECE OF R WING TIP IMBEDDED IN R WNG OF OTR ACFT.
19731002032589A,70 FT PWR LINE 1200 FT FROM RWY.
19731002034259A,GRND FOG IN AREA.
19731002037419A,AT 1ST OVHL 16-629105 PLATE 16-629104 RING 5-630261-4 INSTLD.NOT RPLCD 2ND OVHL.EXTD GR FINAL APCH
19731002039139A,"WHEN PWR APLD ENG DID NOT RESPOND.ACFT T/D ABT 40FT SHORT OF RWY,STRUCK DITCH."
19731002041309A,DC9 WITH MECH PROBLEM PKD WITH TAIL TURNED TO RWY.PLT ON DNWND OBSVD JET.TURB PROCEDURE CVRD AIM.
19731002041319A,SIGHTED FLD CNCLD IFR.WX DETERIORATED 2MI VIS FOG.ENTRD WATER ABT 1 1/2 MI NE OF ARPT.
19731003030029A,R PROP AND WG HIT COW THAT RAN ONTO RWY.
19731003031199A,UN STOP BFR END OF RWY.
19731003031369A,HIT DRAINAGE DITCH.
19731003031829A,STRIP SURFACE ROUGH.
19731003032749A,PLT WAVED TO NEIGHBOR ON TRACTOR JUST PRIOR CRASH.
19731003033429A,T/D ON SOFT GROUND
19731003035749A,SHORT STRIP PARTLY COVERED WITH HI GRASS.BECAME AIRBORNE & HIT HIDDEN STUMP.
19731003037229A,ENTERED NOSE HI L TURN AFTER TKOF.
19731003037729A,DEBRIS IDENTIFIED FROM N1867M RECOVERED FROM LAKE 5-12 OCT 73.PLT PRESUMED FATAL.
19731004030809A,"T/R BLADE,P/N 47-642-102-51,FAILED."
19731004031839A,
19731004032229A,PWR CTL ARM NOT ENGAGED WITH FUEL CTL SHAFT.SAFETY WIRE MISSING.ACFT CROSSED TWO IRRIGATN DITCHES.
19731004032969A,KNOWN MALFNCTN FUEL QUAN GAGE.PLT FAILED TO CHK FUEL PRIOR TO TKOF.
19731004033989A,"OVERFLEW SUITABLE ARPT,RAN OUT OF FUEL.LND HARD AVOIDING PWR LINES."
19731004035759A,NO BRAKE MALFUNCTION FOUND.
19731004037739A,LND AMONG BOULDERS NEAR RIVER.
19731005030819A,GO AROUND INITIATED WITH FULL CARB HEAT COULD NOT CLEAR WIRES AT END OFF RUNWAY.CARB HEAT ON.
19731005032979A,WRINKLED FIREWALL AT R UPPER MNT ATTACH BOLT.STABILATOR DMGD AND WRINKLED.
19731005033529A,SKIDDED ON GRASS STRUCK EDGE OF TAXIWAY WHICH WAS ABT 6IN HIGHER THAN GND.PLT ATTN TO SYNC INST.
19731005033969A,WIND GUSTING 20K.
19731005034089A,HI SINK RATE MAIN GR STRUCK AN EMBANKMENT SHORT OF THE RWY.
19731005035989A,PLT OVER-ROTATED TAKEOFF RESULTING IN STRUCTURAL DAMAGE TO EMPENNAGE.
19731005036779A,ENCNTRD ENROUTE WEA. HIT WIRES LDG ON ROAD.
19731005040639A,CRACK IN FWD TRUNNION ALLOWED LDG GR TO MOVE AFT.
19731005042939A,HIT DITCH ON S BOUNDARY OF ARPT.
19731006030499A,LINT IN SELECTOR VALVE ALLOWED AIR FROM EMPTY TANK TO ENTER FUEL LINE.
19731006032059A,PLT DEP 1900 FT STRIP WITH HVY LOAD OVER HI OBSTRCTNS.NO HEADWND COMPONNT.
19731006032069A,
19731006032239A,L WG SEPN.
19731006032249A,LNDD ABT 800FT SHORT OF RWY.WIND GUSTING 30K.
19731006032429A,DESCENDING APLD PWR ENG DID NOT RESPOND.CARB HEAT IN HOT PSN MIXT CTL IN LEAN PSN.
19731006032599A,CARB HEAT FLEX TUBING COLLAPSED DUE TO BRKN SUPPORT WIRES.ENG.LOST PWR WHEN CARB HEAT APPLIED.
19731006032759A,FORCED LANDING AT NIGHT IN UNSUITABLE TERRAIN FOLLOWING ENGINE STOPPAGE.
19731006032989A,WIND GUSTING 15K.
19731006034099A,UNAUTH FLT. PLT AN EMPLOYEE OF OPERATOR. SPARSE LTG IN ADJACENT AREA.
19731006034269A,"PLT DID NOT ALLOW TIME FOR GEAR TO FULLY EXTEND.PUSH PULL ROD FAILED AFT END,LDG GR HOUSING DMGD."
19731006035999A,L WG HIT TREE. SUN GLARE ON WINDSHIELD. FLOAT EQUIPT ACFT.
19731006036359A,VISION OBSTD BY 80 FT RISE IN ELEV AT MID-RWY.UNABLE TO SEE TAXIING ACFT ON RWY.LAKE AT END OF RWY
19731006038209A,
19731006039819A,BOUNCED LDG ACFT AIRBORNE IN NEAR-STALL ATTITUDE UN CLR TREES PLT ELECTED CHOP PWR GND LOOP ACFT.
19731006040339A,ENTERED ACROBATIC MANEUVER AT TOO LOW ALT TO EFFECT SAFE RECOVERY.R WING FAILED.
19731007029839A,TURNED OFF AIRPORT TO AVOID COLLISION WITH ANOTHER GLIDER ALSO ON FINAL APPROACH.
19731007030509A,PLT PREOCCUPIED WITH FLAP SETTING AND APCH.NO GRHORN.
19731007031209A,AIRBORNE ACFT SETTLED L LDG GR HIT BRUSH APRX 3FT HI.
19731007031849A,"O-RING,P/N 95-4803 ALLOWD BRAKE FLUID TO LEAK OUT OF R BRAKE."
19731007032259A,"ENG 10HRS SMOH.NEW PISTONS,RINGS.NIGHT LDG ON SHOULDER OF BANK PARALLEL TO RD.SHOULDER SLOPED DWN."
19731007032609A,"ENROUTE FUEL STOP DUE WINDS ALOFT.ENG QUIT ON DOWNWIND LEG,HIT SAND DUNE.L TANK EMPTY,R HAD 5 GAL."
19731007032769A,"VEERED R OFF RWY INTO DIRT RIDGE.GUSTING TO 30K.LND RWY 33,26 LISTED AVAIL."
19731007033219A,LND APPRX 2/3 DOWN RWY & SWERVED TO R.
19731007034279A,"RESCUE.ACFT MOVING FWD,MAN HELD ONTO R SKID."
19731007034489A,
19731007034491A,CESSNA N7587G TAXIING PERPENDICULAR TO RWY STOPPED BFR LDG AREA DUE GLIDER ON FINAL APCH.
19731007034492A,ACFT STOPPED BFR LNDG AREA DUE GLIDER FINAL APCH STRUCK BY N169V.RCVD SUBSTANTIAL DMG.
19731007036789A,"GRND WITNESS STATED PLT REACTIONS SLOW,CTL STICK TIED IN REAR POS."
19731007036799A,KNOWN TURB & DWN DRAFTS DEP END OF RWY.DENSITY ALT ABT 9700 FT.NR MAX GROSS WT.UN MAINTAIN FLT.
19731008030829A,"DOWNDRAFT,GUSTING TO 35K. LND 230 FT SHORT OF RWY. DMGD R WG. S TURNS ON APCH DUE PRIOR LDG ACFT."
19731008030839A,APCH TO RANCH.
19731008031219A,L MAG FOUND LOOSE HAD BEEN SHIFTING 1 1/4IN ON THE MOUNTING FLANGE.T/D IN A MUDDY FLD HIT DEEP RUT
19731008032439A,"FRONTAL WX ENRT,VFR FLT NOT REC.BISHOP 1700PST WX.CLOUDS & SNOW SHWRS TOPPING MTNS.RCVRD 6/20/74."
19731008032619A,"DRG TURN OUT OF FOG,UN AVOID TREE IN PATH.CONTINUED FLT,CTLS LOCKED ATMTNG LNDG APCH."
19731008032621A,LNDD TURNED OFF RWY MADE 180 DEG TURN BACK ON TO RWY TO TAXI BACK FOR ANOTHER GLIDER TOW.
19731008032622A,PLT OBSVD CESSNA TURN OFF RWY AFTR LDG NOT AWARE CESSNA TAXIED BACK ON TO THE RWY
19731008032999A,ACFT DROPPED IN SHORT OF THE RWY.
19731008033229A,HAND CRANKING PROP ENG STARTED ACFT JUMPED CHOCKS STRUCK CAR.
19731008033599A,"CLUTCH SHOES,PN 47-G20-609-05 WERE GLAZED. M/R SYSTEM WOULDNT ENGAGE. STUMP COVERED AREA."
19731008033849A,PLT HIGH SPEED TAXI PRACTICE NOT APVD BY INSTR. RWY OIL SURFACE.
19731008034109A,PLT LAST PASS MADE L TURN TOO CLOSE TO RICE L WING TIP HIT RICE ACFT CARTWHEELED.
19731008034289A,"LOST,VFR ON TOP.LNDD IN CORN FLD.N0 WX BRIEF.FLTNOT AUTHORIZED BY INSTRUCTOR."
19731008037749A,"MOD TURB IN RW,GUSTS TO 30KTS.T/D SHRT OF RWY.RWY LOWER THAN SURROUNDING TERRAIN.L GR SEPARATED."
19731008038869A,NOSED OVER ON IMPACT.
19731008040999A,"SPECIAL VFR DEP.GYRO NOT ALIGNED.AKRON,OHIO WX OBSERVATION."
19731009033009A,EMERG REVOKATION OF PLT LICENSE ON 9/10/73 FOR OPN IN VIOLATION OF FAR 91.9-91.11 AND 91.79.
19731009033239A,ACFT-ACROBATICS PROHIBITED.LOOP OBSVD FOLLOWED BY SNAP ROLL.ACFT CONT ROTATING NOSE DWN TO IMPACT.
19731009034299A,"CP MISTOOK SURVEYED LDG SITE DUE DUSK & HAZE.PLT HAD TO AVOID PWR LINES,LOST CTL.HIT STEEL BOLLARD"
19731009034309A,"LO LVL ACROBATICS.ACFT CRASHED OFF-SHORE,NOT RCVRD."
19731009034699A,RECOVERY DATE 10/10/73. PLTS TIME AS OF 12/1/72.
19731009035249A,POST ACDT INSP DID NOT REVEAL EVIDENCE OF MALFUNCTION.ACFT ENTRD SANDY AREA L OF RWY.
19731009037429A,"ATTMPTD ILS APCH IN KNOWN POOR VIZ,LOST CTL.PLT MADE MISSED APCH PRIOR.CRASHED IN STREET."
19731009041799A,DSCNDD BLO MDA HIT TREES AT 1280FT MSL ABT 3MI SSE OF ARPT.ALT PRES SET 29.95IN BAROMETER 30.05IN.
19731010031009A,500FT UNPREPARED STRIP.NOSEOVER CROSSING DEPRESSION.LNDD TO ADJUST ONBOARD INSTRUMENTATION.
19731010031379A,NO RECORD OF INST TRNG.
19731010031859A,GREASE FITTING NOT INSTALLED IN BRACKET ASSEMBLY P/N 95643-00.FITTING INSTALLED GR CKD OUT OK.
19731010032079A,PLT STATED COULD NOT GET THROTTLE TO RETARD DRG FLARE OUT.POST EXAM THROTTLE-LINKAGE OPERATED OK.
19731010032639A,HI APCH.ALLOWED A/S TO BUILD.HIT EMBANKMENT OF SMALL DRAINAGE DITCH.
19731010032649A,PLT TIME ESTD.VW ENGINE.ROTOR BLADES HIT RUDDER ASSY DURING PORPOISING MANEUVER.
19731010032779A,FLT NOT APVD BY IP.ACFT INFLT ABT 2.3 HOURS FLT TIME FOR THIS LEG NO WIND APRX 1HR 20MIN.
19731010033019A,"FERRY PERMIT VFR DAY ONLY.OBS CIRCLING TOWN AT LOW ALT,ENTERED ABRUPT CLIMB,LVLD OFF & HIT RIDGE."
19731010034009A,ENG STARTED ACFT PROCEEDED FWD ABT 60FT HIT AND OVR-RODE CONCRETE CURBING HIT CAR.BRAKES CKD.OK.
19731010034899A,"NOTAM-RWY 31 CLOSED.CLRD TKOF RWY 35,USED 31.CONSTRUCTION AREA."
19731010035259A,PLT DISCLOSED HE BECAME SICK-DISORIENTED-CONFUSED WHILE IN TURN HEADING TO SHORE.ACFT STRUCK WATER
19731010036009A,
19731010036019A,CLRD FROM HOLDING PATTERN FOR ILS APCH.LOSS OF CTL FOR UNDET REASON.HI SPEED NEAR VERTICAL IMPACT.
19731010036249A,"PRACTICE FORCED LDG.STUDENT OVRBNKD ACFT,IP UN TO CK DSCNT.ALL 3 GR FAILED ON IMPACT."
19731010036369A,PLT ATTMPTD FLT WITH ICE ON ACFT.TRIED TO REMOVE ICE WITH WATER BUT FAILED DUE TO 18 DEG TEMP.
19731010036809A,"WEATHER BY RADIO FROM TOWER.STRONG X-WIND,APCHNG TSTM."
19731010037639A,"ENG CUT OUT ON TKOF,PLT CONT FLT.LOST CTL DRG ATTMPTD RET TO FLD."
19731010041079A,CIRCLING FATHERS FARM AT LOW ALT.
19731011032789A,"FINAL APCH ENG QUIT,SWITCHED TANKS.L FUEL TANK EMPTY R IND 5 GAL.LNDD IN BRUSH AREA SHORT OF RWY."
19731011033249A,PLT FORCED ACFT ONTO RWY NOSE GR BROKE.WIND GUSTING.
19731011033259A,INSPN REVEALED NOSE OLEO STRUT BENT FM OVRSTRESS
19731011034909A,LOST CTL DRG ATMPTD TURN ARND.DENSITY ALT APRX 7200 FT.
19731011036379A,PLT ABORTED TKOF AFT STUDENT ATMTD GO-ARND.
19731011038449A,"HIT RWY MARKER,CRASHED UNCONTROLLED INTO LAKE ADJ TO RWY.WIND GUSTING TO 25K."
19731012032269A,FLARED TOO HI RESULTING IN HARD LDG.
19731012032279A,
19731012032449A,"COPILOT RUDDER STOW HANDLE AT MID-TRAVEL.LEFT PEDAL STOWED,NO EFFECTIVE LEFT RUDDER.IP IN RT SEAT."
19731012032659A,T/D APRX 1/3 DWN ON RWY BECAME AIRBORNE 2ND T/D BEYOND HALF WAY POINT ON 2200FT STRIP.
19731012033029A,PILOT MISTOOK UNIMPROVED FIELD FOR AIRPORT.ENGINE FAILED DURING ATTEMPT TO ABORT APPROACH.
19731012033709A,NOSE GR STRUT TRUNNION PIN IMPROPERLY INSTALLED.
19731012034709A,CARB HEAT KNOB AND 5 INCHES OF WIRE BROKEN OFF AND FOUND IN COCKPIT.
19731012037439A,FLEW INTO ENROUTE TSTM. AFT FUSELAGE & TAIL SEPARATED IN FLT.RPTD 11000 FT.NO OXYGEN SYSTEM ABD.
19731012038459A,DEBRIS & 2 BODIES RCVRD FM SAGINAW BAY.FRONTAL WX ENRT.PLT MOD-SVR CORONARY ARTRL ATHEROSCLEROSIS.
19731012042459A,FUEL SELECTORS FOUND ON EMPTY AUX TANKS.
19731012042549A,OTR ACFT FOUND ABANDOND IN TKOF PSN.SWITCH ASSEMBLY RMVD.THIS ACFT IGNITION SYS RMVD HOT WIRED.
19731013031229A,
19731013032459A,"SELECTED RWY16 DUE WND,RWY4/22 AVBL.RWY MARKED CLOSED,NO NOTAM.HIT GRAVEL WINDROW ON RWY."
19731013033339A,HIT MARKER BUOY DRG WATER TKOF. HAD PORPOISED ON TKOF RUN.
19731013033639A,"FULL FLAP LDG,BOUNCED,RECONTACTED RWY NOSE WHEEL BROKE OFF STRUT."
19731013033719A,CONTROL LMTD BY STEEP DESCENT AND HEAVY LOAD. POWER SETTLING.
19731013035049A,"20DEGREES FLAPS,HI SINK RATE,PLT LATE TAKING CNTL.WND GUSTING 23KTS."
19731013035529A,RECOVERY DATE 10/18/73.
19731013037759A,"HIGH RPM,FAST TAXI, FLOATS HIT FROZEN MUD,GRASS & 2 SLOUGHS.ACFT NOSED OVER."
19731013037769A,SNOW 7-8 IN DEEP.
19731013038469A,
19731013042749A,ACFT ENTRD SOFT SAND AREA.
19731013042869A,REQ & REC WEA BETWEEN SEATTLE & PORTLAND.MARGINAL VFR. BOTH WGS & TAIL SEPARATED.
19731014031239A,ACFT LNDD ON NSE GR THE 2ND TIME.
19731014032799A,OFF ARPT LDG AT RANCH. PLT NOT SIGNED OFF IN TYPE ACFT.WAS IN C-172.
19731014032809A,LETTER OF COMPETENCE-MINIMUM ALTITUDE:100FT ABV SFC.2 SUCCESSIVE ROLLS L WING HIT GND 2ND ROLL.
19731014033039A,EVASIVE ACTION TO AVOID BIRDS.DRG L CLBG TURN THE ACFT INVERTED HIT TREES DRG RCVRY.
19731014033049A,TOUCHDOWN SHRT OF RWY IN PLOWED FLD.
19731014033059A,"PLT LNDD ON ROAD TO IMPRESS PSGR,HIT CONCRETE BLOCK HIDDEN BY GRASS."
19731014033269A,PILOT NOT MULTI ENG RATED NO MEDICAL CERT.NO RECORD OF FLY TIME SINCE LAST REFUELING.CITY AREA.
19731014033349A,
19731014033439A,NR 2 CYL EXH VALVE FAILED. PLT OVERSHOT RWY & CRASHED IN FLD BESIDE RWY.
19731014033689A,TOO RAPID THROTTLE MOVEMENT-AD 7396 CVRS.
19731014033739A,"LANDED ON AUTO RACEWAY,ABT 3700 FT.RAN OFF END. PLT DELIVERING TROPHIES."
19731014033869A,"LOW PASS TO READ SIGN POST,THEN LOOKED AT ROAD MAP.ACFT HIT FENCE."
19731014034029A,"WIND GUSTING 30K,RWY INTO THE WIND AVBL."
19731014034319A,RADIO SUPPORT BKT LODGED BTWN HOT TERM GEN WARN LGT AND RADIO CASE.HIT TFC SEMAPHORE & FURN STORE.
19731014035059A,T/D ABT 3/4 MILE SHORT OF RWY STRUCK A TERRACE.
19731014035069A,PLT DID NOT MAINTAIN ADEQUATE CLEARANCE BEHIND A LARGE MILITARY HELICOPTER-UNCONTROLLED AIRPORT.
19731014035269A,ACFT STRUCK SOFT SOIL IN CORN FLD-FLIPPED.
19731014035539A,INVESTIGATION UNDER THE JURISDICTION OF THE GOVT OF MEXICO.
19731014036389A,FUEL EVIDENT IN L WING TANKS R WING AND FUEL TANKS DMGD.
19731015032089A,"DSCNDD TO ABT 150FT AGL.WHEN ENG DID NOT RESPOND,IP REALIZED FUEL SEL NOT TURNED ON.UN CLR TREES."
19731015032469A,STRUCK TELFON WIRES. LDG DUE OBSCURED MTN PASS.
19731015033279A,PLT FAILED TO SURVEY AREA FOR OBSTRUCTIONS PRIOR TO START OF OPERATION.
19731015034719A,OBS WAVING AT FLAGGER.PULLED UP INTO PWR LINES.
19731015035279A,L TIRE DEFLATED. NOSE GR HIT HOLE OFF RWY.
19731015036819A,T/D ABT 600FT FM APCH END OF RWY APPLIED BRAKES DTMND ACFT COULDNT BE STOPPED INITIATED GO-AROUND.
19731015037779A,MASTER BRAKE CYL LEFT WHEEL STUCK IN BRAKE-ON POSITION.
19731015038479A,"ABORTED,NR 3 VALVE FAILED. HEAVY FROST ON RWY. SLID OFF END."
19731015039399A,PILOT NOT CERTIFICATED.
19731015041619A,ACFT DROPPED ABT 20FT TO RWY.
19731016031869A,"NSE WHL BENT FWRD,PROP AND WHL PANT DMGD."
19731016033069A,ROTATED TO R. L SKID CTCD GRND. LDG ON MTN. RAIN GAUGE SURVEY.
19731016033289A,TAIL TIEDOWN RING STRUCK RWY DMGG TAIL CONE REAR BULKHEAD.RAISED NOSE TO AVOID JET BARRIER CABLE.
19731016034509A,LND ON ROAD. R WG HIT FENCE & GATE.
19731016041629A,LWR COUPLING DRIVE SHAFT P/N 269A5504-3 FRACTURED AS RESULT OF REVERSE TORSIONAL FATIGUE STRESSES.
19731016042559A,"LOUD NOISE,PWR LOSS,AUTOROTATION TO SLOPING TERRAIN."
19731017032099A,"DID NOT HAVE CK LIST,FLT MAN EMGCY PROCEDURES REF.BATTERIES DISCHARGED,GEN SWITCHES OFF."
19731017032289A,WIND GUSTING 15K.
19731017032661A,TREES ALONG RWY 31 OBSTRUCTED PILOTS VIEW OF APCH PATH.UNICOM NOT MANNED.
19731017032662A,"LNDG RWY 31.COLLIDED WITH N3581K DEPARTING RWY 25.SAW OTR ACFT,SLOW INITIATING GO-ARND."
19731017033939A,OIL HOSE FITTING NOT SEATED.ACFT FLOWN .35HR SINCE OIL AND FILTER CHANGED 10/15/73.
19731017033999A,
19731017034119A,LAST WX OBS AT 2256L. DEPT 2318L. ACDNT 26MI FM DEPT. SECURITY GRD OBSD EXTREMELY HEAVY RAIN 2345L
19731017034519A,PLT HAD FLOWN 8 HRS IN LAST 24 HR PERIOD VEERED L INITIATED GOARND HELD R RUDDER TOO LONG.
19731017034729A,PRACTICE AUTOROTATION. T/R & BOOM CTCD GRND FIRST. ALSO DMGD M/R BLADES.
19731017035079A,PAX LND ACFT LOSS DIRCTNAL CONTRL ON ROLL OUT. PLT TOOK CONTRL STOPPD ACFT.
19731017035089A,"FIREWALL,FWD FUSELAGE STRUCTURE DMGD.WIND GUSTING 25K."
19731018032819A,"STUDENT RAISED FLAPS AFT BOUNCED LDNG,FROZE ON CONTROLS WHILE IP ATTEMPTED RECOVERY."
19731018033449A,ADDED PWR TOO LATE. OVER WATER APCH. GR HIT SEA WALL.
19731018033509A,L WING HIT TREE L OF APCH END OF RWY.
19731018034329A,FORMATION SEEDING OPERATION ENCTRD VORTEX TURBC IN CONJUNCTION WITH ADVERSE SURFACE WINDS.
19731018034339A,"2ND FLT,PLT THOUGHT WIND EITHER CHANGED DIRECTION OR QUIT."
19731018035549A,FATIGUE CRACK INITIATD AT IMPROPRLY DRILLD RIVT HOLE.EVIDENCE OF OVRHEAT OF SPAR TO STRAIGHTEN.
19731018036029A,"PARKED ACFT - HUGHES 500C N9117F SUB DMG,PIPER PA-22 N7212D,SUB DMG."
19731018037789A,"FLEW INTO CLOUDS ENROUTE,LOST CTL.R OUTBD WG & TAIL SEPARATED."
19731018038489A,"MDT RAIN SHWRS,SPARSE LTG IN AREA. RECOVERED FROM LAKE 10/27/73."
19731019032109A,RAIN WATER ERODED DITCH ON R EDGE OF RWY.ARPT NOT EQPD WITH RWY OR VASI LTS.
19731019032119A,PLT LWRD PITCH ATTITUDE DUMPED LOAD IN ATMPT TO INCREASE SPEED AND CK DSCNT.
19731019032479A,"PLT THOUGHT HE WAS OVR FT COLLINS.LNDD ON APCH LIGHT SYS,MISTAKEN FOR CENTER RWY LTS.RWY LTS OUT."
19731019032679A,"SAW ROCKS,APPLIED PWR & BOUNCED. PLT CUT PWR,LND IN CRAB ATTITUDE. R GR FAILED."
19731019032829A,RAN INTO DRAINAGE DITCH.
19731019033079A,PLT ATTEMPTED A SNAP ROLL 300 FT AGL IN A 3/4 SCALE MODEL JUNGMEISTER ACFT.
19731019033089A,T/R STRUCK GRND.SUBSTL DMG.DRG INVEST PLT INADVERTENTLY LIT MATCH.ACFT CONSUMED BY FIRE.SPRY BEETS
19731019033299A,"WINDS STRONGER THAN PLANNED.FSS ASIST,PLT OBSVD LITE OF OTR ARPT CONT FLT TO PLANNED DEST."
19731019033749A,
19731019033959A,ACFT RAN OFF R SIDE OF RWY PLT ATMTD ACCELERATE ACFT HIT DRAINAGE DITCH.
19731019034179A,PIC INITIATED GO-AROUND ABT 500-800FT BFR END OF RWY.
19731019034739A,AT APRX 30FT ABV RWY A/S LOW PLT PUSHED FWD ON ELEV CTL STRUCK RWY ON NOSE GR.
19731019035289A,"FOG BANK AT OXNARD.IP DIVERTED STUDENT TO ALT ARPT.PLT MADE LOW FAST APCH,ACFT PORPOISED."
19731019035299A,NIGHT LDG OFF RWY IN ROUGH AREA
19731019035559A,MANEUVER TO AVOID TREES.FIRST FLT AFTER ENG REPAIRS FOR ROUGHNESS.PLT CONT TKOF AFTER POWER LOSS.
19731019036399A,PILOT ALLOWED RPM TO DECAY DURING UPSLOPE SURVEY
19731020032299A,WIND GUSTING 25K
19731020032489A,"DID NOT FLARE,NOSE WHEEL CONTACTED THE RWY AT A SPEED HIR THAN NML."
19731020032689A,RUDDER CABLES CROSSED UNABLE TO MAINTAIN DIRECTIONAL CONTROL ON TAKEOFF STRUCK WIND TEE.
19731020033459A,FLEW INTO GRND AFTER RECOVERY FROM NEAR VERTICAL DIVE. PLT PREVIOUSLY BUZZED HOUSE.
19731020033729A,RT TIRE JAMMED AGAINST TIRE FOLLOW-UP ROD-CABLE FAILED.
19731020034349A,LNDD IN SOFT STUBBLE FIELD.
19731020034529A,R TIRE HAD 7X5 IN AREA WORN OFF.
19731020034749A,ENG FUEL INJECTED.SWITCHED TANKS.UN RESTART ENG.T/D BFR GR FULLY EXTENDED.FUEL GAGE INOP.
19731020036409A,DRG LDG PHASE ENCTRD WIND GUST L WING AND NOSE OF ACFT HIT GND.WIND GUSTING 20K.
19731020036419A,FIRE FROM UNDETERMINED SOURCE DRG HEAT RACE.
19731020038499A,"ACFT SETTLED AFTER BECOMING AIRBORNE.PLT STATED WIND SHIFTED,VELOCITY N/R.WATER IN FLOATS."
19731020040239A,"SWITCHED TANKS AT LOW ALT,BOOST PUMP OFF.LNDD ON TUNDRA."
19731020042639A,DEEP GRAVEL PIT AT END OF RWY.PLT ELECTED TO GND LOOP TO L STOPPED IN SOFT DIRT.
19731021033469A,"N599Z,A GLOBE GC1B RECEIVED SUBSTANTIAL DAMAGE."
19731021033589A,PLT AWARE SOFT SPOTS ON RWY.SETTLED BACK TO RWY BOUNCED DRIFTED L HIT BUSHES ABT 2FT ABV GND.
19731021033669A,LOST CTL IN LOW PASS OVER FRIENDS HOUSE.PLT FLEW 1 HR IN LAST 90 DAYS.
19731021033829A,TOOK OFF FROM FARM FLD.LOST CTL IN STEEP LOW ALT TURN.
19731021034129A,STRUCK A 12IN DIRT MOUND AT THRESHOLD.
19731021034539A,"NR 1 MAIN BEARING FOUND SEIZED TO CRANKSHAFT JOURNAL.OIL PUMP,OIL SCREEN,AND PASSAGES CKD OK."
19731021034549A,AIRCRAFT ALSO STRUCK FENCE PRIVATE PILOT CKG OTR PRIVATE PILOT.
19731021034559A,LEFT MAIN GEAR TIRE FAILURE
19731021034759A,CAME TO REST IN SMALL LAKE ON AIRPORT.
19731021035099A,"ATTMPTD OVR WATER FLT WITH ERRATIC COMPASS,VOR RCVR & RADIO XMTR INOP.BECAME LOST,PWR DITCHING."
19731021035769A,NO ENG MALFUNCTION FOUND.PLT EXPD A SLIGHT TORQUE AND THEN ENG OUT LIGHT AND BEEPER CAME ON.
19731021036039A,LNDD ON RD ADJ TO OWNERS FARM FLD NOSEWHEEL ENTRD LOOSE SOIL.
19731021036049A,T/D APRX 50FT SHORT OF RWY IN UNPREPARED RWY EXTN FILL AREA.
19731021036059A,ACTUATOR RODS TO R MAIN LDG GR BENT.DMG RESULTED DRG RETRACT CYCLE GR IN PARTIAL RETRACT PSN.
19731021037799A,
19731021038509A,"IFR DEP TO VFR ON TOP.PLT RPTD""SPATIALLY DISORIENTED""AT 0607.HIT GTE WAREHSE.DMG EST 70000DOLS."
19731022032499A,"PRACTICE AUTOROTATION.BOUNCED,HIT TAIL."
19731022033099A,DRG ATMPT TO AVOID TREES ACFT MUSHED INTO A HVY WOODED AREA.
19731022033799A,WIND GUSTING 60-70K.
19731022034359A,PRACT LDG IN SOD AREA ON AIRPORT-LANDED TAIL LOW
19731022034369A,PILOT ATTEMPTED TAKEOFF WITH FULL FLAPS.
19731022034769A,PILOT PREOCCUPIED BY NIGHT LANDING FORGOT TO LOWER LANDING GEAR WARNING HORN DID NOT ACTIVATE.
19731022035309A,AFTER COLLISION WITH POLE AIRCRAFT WAS FLOWN TO DEPARTED AIRPORT.LNDD WITHOUT FURTHER DMG.
